num,group,group2
group_goods,Домашняя аптечка,домашняя аптечка
group_goods,Профилактика простуды и гриппа,простуда и грипп
group_goods,Аптечка путешественника,аптечка путешественника
group_goods,Ангина,ангина
group_goods,Для памяти,для памяти
group_goods,Коронавирус,коронавирус
group_goods,влажный кашель,кашель
group_goods,Температура,температура
group_goods,Жар,жар
group_goods,Кашель,кашель
group_goods,Простуда,простуда и грипп
group_goods,Таблетки для  памяти,для памяти
group_goods,порошки от простуды,простуда и грипп
group_goods,порошок от простуды,простуда и грипп
group_goods,Сопли,сопли
group_goods,Новогодняя аптечка,домашняя аптечка
group_goods,Лекарства для печени,для печени
group_goods,Болит зуб,болеутоляющие
group_goods,при простуде,простуда и грипп
group_goods,простуда,простуда и грипп
group_goods,Противовирусное,противовирусные
group_goods,Ингавирин,ингавирин
group_goods,микстура от кашля,кашель
group_goods,Лекарства от изжоги,лекарства от изжоги
group_goods,Иммунитет,иммунитет
group_goods,Болит живот,болеутоляющие
group_goods,таблетки от кашля,кашель
group_goods,Средства от геморроя,от геморроя
group_goods,Для суставов,для суставов
group_goods,спрей в горло,от боли в горле
group_goods,спрей для горла,от боли в горле
group_goods,спрей от боли в горле,от боли в горле
group_goods,спрей от горла,от боли в горле
group_goods,домашняя аптечка,домашняя аптечка
group_goods,от головной боли,от головной боли
group_goods,Понос,понос
group_goods,Промыть нос Промывать нос,для носа
group_goods,Болит голова,от головной боли
group_goods,от боли в горле,от боли в горле
group_goods,Противовирусные,противовирусные
group_goods,дорожная аптечка,аптечка путешественника
group_goods,комплексы против простуды,простуда и грипп
group_goods,Морская вода,морская вода
group_goods,Пробиотики и Пребиотики,пробиотики и пребиотики
group_goods,спрей для носа,для носа
group_goods,спрей от насморка,для носа
group_goods,Температура у ребёнка,температура
group_goods,кашель,кашель
group_goods,от кашля,кашель
group_goods,профилактика простуды и гриппа,простуда и грипп
group_goods,ангина,ангина
group_goods,Выгодно,выгодно
group_goods,капли в нос,для носа
group_goods,капли от насморка,для носа
group_goods,Мовалис,мовалис
group_goods,полисорб,полисорб
group_goods,Энтеросорбенты,энтеросорбенты
group_goods,аквамарис спрей,аквамарис
group_goods,Сегодня покупают,сегодня покупают
group_goods,для памяти,для памяти
group_goods,ноотроп,ноотроп
group_goods,от простуды,простуда и грипп
group_goods,промывание носа,для носа
group_goods,терафлю,терафлю
group_goods,горчичник,горчичник
group_goods,Джонсон,джонсон
group_goods,для всей семьи,для всей семьи
group_goods,Здоровье ваших ног,здоровье ног
group_goods,От Тошноты Рвоты,от тошноты рвоты
group_goods,Хит продаж!,сегодня покупают
group_goods,для печени,для печени
group_goods,Дюфалак,дюфалак
group_goods,Нэйчес Баунти,нэйчес баунти
group_goods,пребиотики,пребиотики
group_goods,сироп от кашля детский,кашель
group_goods,венарус,венарус
group_goods,Детралекс,детралекс
group_goods,мезим,мезим
group_goods,панкреатин,панкреатин
group_goods,слабительные средства,слабительные средства
group_goods,звездочка,звездочка
group_goods,красная звезда,звездочка
group_goods,Doppelherz aktiv,доппельгерц
group_goods,для сердца,для сердца
group_goods,для сосудов,для сосудов
group_goods,для суставов,для суставов
group_goods,Доппельгерц,доппельгерц
group_goods,иммунитет,иммунитет
group_goods,Мексидол,мексидол
group_goods,Нау фудс,нау фудс
group_goods,нурофен детский,нурофен
group_goods,нурофен для детей,нурофен
group_goods,от боли в суставах,болеутоляющие
group_goods,Пенталгин,пенталгин
group_goods,варикоз,варикоз
group_goods,вены,вены
group_goods,Горячее питье,горячее питье
group_goods,для детей,для детей
group_goods,дона,дона
group_goods,линекс,линекс
group_goods,Материя Медика противовирусные,противовирусные
group_goods,моксонидин,моксонидин
group_goods,омега 3,омега 3
group_goods,простуда каталог,простуда и грипп
group_goods,свечи виферон,свечи
group_goods,свечи от гемороя,от геморроя
group_goods,Свечки от температуры,свечи
group_goods,Троксевазин,троксевазин
group_goods,усталость ног,здоровье ног
group_goods,ферменты январь,ферменты январь
group_goods,флебодия,флебодия
group_goods,флуимуцил антибиотик,флуимуцил антибиотик
group_goods,Хондропротекторы январь,хондропротекторы январь
group_goods,аквамарис стронг,аквамарис
group_goods,Алфлутоп,алфлутоп
group_goods,артра,артра
group_goods,баксет,баксет
group_goods,бифиформ,бифиформ
group_goods,выгодно два,выгодно
group_goods,выгодно один,выгодно
group_goods,Глицериновые свечи,свечи
group_goods,дыши,дыши
group_goods,Защити себя от вирусов,противовирусные
group_goods,Имодиум,имодиум
group_goods,капли в нос детские,для носа
group_goods,Максилак,максилак
group_goods,Нурофен экспресс,нурофен
group_goods,першение,першение
group_goods,Пищеварение,пищеварение
group_goods,с 3 лет,с трех лет
group_goods,с трех лет,с трех лет
group_goods,свечи глицериновые,свечи
group_goods,свечи с глицерином,свечи
group_goods,Хилак форте,хилак форте
group_goods,Хофитол,хофитол
group_goods,эссенциале,эссенциале
group_goods,аквамарис норм,аквамарис
group_goods,Витамины для всей семьи.,витамины для всей семьи.
group_goods,Гевискон,гевискон
group_goods,диосмин,диосмин
group_goods,Лизобакт,лизобакт
group_goods,Маалокс,маалокс
group_goods,Микролакс,микролакс
group_goods,найз,найз
group_goods,от геморроя,от геморроя
group_goods,парацетамол детский,парацетамол
group_goods,парацетамол сироп,парацетамол
group_goods,Ренни,ренни
group_goods,свечи от геморроя,от геморроя
group_goods,Товар на первом месте,сегодня покупают
group_goods,Фестал,фестал
group_goods,фосфоглив,фосфоглив
group_goods,Энзистал,энзистал
group_goods,heel,heel
group_goods,Solgar,solgar
group_goods,аквалор бэби,аквалор бэби
group_goods,Арепливир,арепливир
group_goods,Артракам,артракам
group_goods,вальтарен,вальтарен
group_goods,Гербион,гербион
group_goods,Дротаверин,дротаверин
group_goods,Дюспаталин,дюспаталин
group_goods,заложенность носа,для носа
group_goods,ибупрофен детский,ибупрофен детский
group_goods,ингаляции,ингаляция
group_goods,ингаляция,ингаляция
group_goods,Коррекция фигуры,коррекция фигуры
group_goods,креон,креон
group_goods,леденцы от кашля,кашель
group_goods,Лекарства для похудения,лекарства для похудения
group_goods,мелоксикам,мелоксикам
group_goods,насморк,для носа
group_goods,Ницерголин,ницерголин
group_goods,Овесол,овесол
group_goods,Омакор,омакор
group_goods,Пробиотики,пробиотики
group_goods,синупрет,синупрет
group_goods,смекта,смекта
group_goods,солгар,солгар
group_goods,Спазм,спазм
group_goods,Товар дня сайт,сегодня покупают
group_goods,Трекрезан,трекрезан
group_goods,трекрезан,трекрезан
group_goods,троксерутин,троксерутин
group_goods,цинк,цинк
group_goods,Эссенциале,эссенциале
